gw_site_id	county_code	well_log_nbr	gw_logid	well_tag_nbr	other_identity_id	other_identity_name	other_identity_description	download_date
6270	HARN	1387	HARN0001387		'26S/33E-13daa'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
6270	HARN	1387	HARN0001387		'431845118353001'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18386	HARN	1390	HARN0001390		'No. 339'	USGS WSP 0841	Piper, A.M., Robinson, T.W., Park, C.F., and Jessup, L.T., 1939, Geology and ground-water resources of the Harney Basin, Oregon: U.S. Geological Survey Water Supply Paper 841.	1/29/2024
6308	HARN	1392	HARN0001392		'26S/33E-19ccc'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
6309	HARN	1393	HARN0001393		'26S/33E-19ddc'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
18387	HARN	1395	HARN0001395		'No. 340'	USGS WSP 0841	Piper, A.M., Robinson, T.W., Park, C.F., and Jessup, L.T., 1939, Geology and ground-water resources of the Harney Basin, Oregon: U.S. Geological Survey Water Supply Paper 841.	1/29/2024
17574	HARN	1397	HARN0001397		'26S/33E-26dcc'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
17574	HARN	1397	HARN0001397		'431639118363701'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
17574	HARN	1397	HARN0001397		'431640118363501'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18388	HARN	1398	HARN0001398		'No. 342'	USGS WSP 0841	Piper, A.M., Robinson, T.W., Park, C.F., and Jessup, L.T., 1939, Geology and ground-water resources of the Harney Basin, Oregon: U.S. Geological Survey Water Supply Paper 841.	1/29/2024
18389	HARN	1400	HARN0001400		'No. 343'	USGS WSP 0841	Piper, A.M., Robinson, T.W., Park, C.F., and Jessup, L.T., 1939, Geology and ground-water resources of the Harney Basin, Oregon: U.S. Geological Survey Water Supply Paper 841.	1/29/2024
